Customer	AddressLine	City	Municipality	AdminDivision	Country	PostCode	Latitude	Longitude	Phone	Fax	Sample
PIERCE MFG	BOX 2017	APPLETON		WI	US	54912	44.416326	-88.464873	920-832-3000	920-832-3088	XX
"ROSENBAUER SOUTH DAKOTA, LLC"	100 THIRD STREET	LYONS		SD	US	57041	43.724064	-96.870566	605-543-5591	605-543-9702	XX
"ROSENBAUER MINNESOTA, LLC"	PO BOX 549	WYOMING		MN	US	55092	45.336417	-92.967517	651-462-1000	651-462-4092	XX
NEPTUNE TECHNOLOGY GROUP	1600 SOUTH ALABAMA HWY 229	TALLASSEE		AL	US	36078	32.541458	-86.210791	334-283-6555	334-283-7292	XX
"BADGER METER, INC."	PO BOX 245036	MILWAUKEE		WI	US	53224	43.16333	-88.039699	414-355-0400	414-371-5950	XX
EMERGENCY ONE	1601 SW 37TH AVE	OCALA		FL	US	34474	29.173242	-82.182722	352-237-1122	352-237-5299	XX
"SMEAL SFA, LLC"	PO BOX 8	SNYDER		NE	US	68664	41.70389	-96.78864	402-568-2224	402-568-2346	XX
W S DARLEY & CO	325 SPRING LAKE DRIVE	ITASCA		IL	US	60143	41.967242	-88.027051	800-323-0244	708-345-8993	XX
"MASTER METER, INC"	101 REGENCY PARKWAY	MANSFIELD		TX	US	76063	32.56295	-97.108301	800-765-6518	817-842-8100	XX
"WITMER ASSOCIATES, INC."	104 INDEPENDENCE WAY	COATESVILLE		PA	US	19320	39.984228	-75.882232	800-852-6088	888-335-9800	XX
L N CURTIS & SONS CO	1800 PERALTA STREET	OAKLAND		CA	US	94607	37.814232	-122.291143	510-839-5111	510-839-5325	XX
"DEEP SOUTH FIRE TRUCKS, INC."	BOX 293	SEMINARY		MS	US	39479-0293	31.5378	-89.502846	601-722-4166	601-722-4168	XX
FERRARA FIRE APPARATUS	P O BOX 249	HOLDEN		LA	US	70744	30.507099	-90.696724	800-443-9006	225-567-4192	XX
KME CORPORATION	1 INDUSTRIAL COMPLEX	NESQUEHONING		PA	US	18240	40.862649	-75.81895	570-669-9461	570-669-9831	XX
BOISE MOBILE EQUIPMENT	5656 W MORRIS HILL RD	BOISE		ID	US	83706	43.608133	-116.251467	208-338-1444	208-344-0395	XX
CORE & MAIN LP	PO BOX 28446	ST LOUIS		MO	US	63146	38.703251	-90.461818	314-432-4700	314-432-8481	XX
SEAGRAVE FIRE APPARATUS LLC	105 E 12TH ST	CLINTONVILLE		WI	US	54929	44.621035	-88.750699	715-823-2141	715-823-5769	XX
MES - HOUSTON (AP)	PO BOX 656	SOUTHBURY		CT	US	06488	41.470921	-73.240839	203-364-0620	203-264-3325	XX
FIREMATIC SUPPLY CO	P O BOX 187	YAPHANK		NY	US	11980	40.83255	-72.92418	631-924-3181	631-924-5202	XX
USA BLUEBOOK	P O BOX 9005 - DEPT 1710	GURNEE		IL	US	60031-9005	42.375121	-87.939683	847-689-9793	847-689-9859	XX
MARION BODY WORKS	BOX 500	MARION		WI	US	54950	44.67081	-88.88927	715-754-5261	715-754-1303	XX
DIXON POWHATAN	800 HIGH ST	CHESTERTOWN		MD	US	21620	39.215205	-76.073604	410-778-2000	410-778-4702	XX
4 GUYS INC	BOX 90	MEYERSDALE		PA	US	15552	39.81369	-79.02475	814-634-8373	814-634-0076	XX
FERGUSON WATERWORKS	PO BOX 9406	HAMPTON		VA	US	23670-0406	37.072658	-76.38992	701-293-5511	701-232-8129	XX
DANKO EMERGENCY EQUIPMENT CO	BOX 218	SNYDER		NE	US	68664	41.70389	-96.78864	402-568-2200	402-568-2278	XX
"HME, INC"	1950 BYRON CENTER AVENUE	WYOMING		MI	US	49519	42.929432	-85.725242	616-534-1463	616-534-9460	XX
"TOYNE, INC"	BOX 10	BREDA		IA	US	51436	42.15864	-94.991919	712-673-2328	712-673-2200	XX
SENSIBLE PRODUCTS	3857 BRECKSVILLE RD	RICHFIELD		OH	US	44286	41.240613	-81.637725	330-659-4212	330-659-2144	XX
"NAFECO, INC"	1515 W MOULTON ST	DECATUR		AL	US	35601	34.603515	-87.008204	800-628-6233	256-355-0852	XX
CHIEF FIRE & SAFETY CO	P O BOX 1214	CHICKASHA		OK	US	73023	35.031247	-97.881959	405-224-2596	405-224-2653	XX
ARIZONA WATERWORKS	P O BOX 219	TEMPE		AZ	US	85280	33.401395	-111.931298	480-966-5804	480-967-7857	XX
"SUNBELT FIRE, INC."	8050 MCGOWIN DR	FAIRHOPE		AL	US	36532	30.460916	-87.88476	251-928-9917	251-928-9933	XX
"SPARTAN MOTORS USA, INC."	1541 REYNOLDS RD	CHARLOTTE		MI	US	48813	42.553474	-84.85305	517-543-6400	517-231-5303	XX
"POMASL FIRE EQUIPMENT, INC."	BOX 267	ANTIGO		WI	US	54409	45.160809	-89.093942	715-623-7454	715-627-7504	XX
"ELSTER AMCO WATER, INC."	10 SW 49TH AVE BLDG #100	OCALA		FL	US	34474	29.185491	-82.202298	800-874-0890	352-368-4625	XX
TEN-8 FIRE EQUIPMENT COMPANY	2904-59TH AVE DRIVE EAST	BRADENTON		FL	US	34203	27.434952	-82.527441	941-756-7779	941-756-2598	XX
